week,sku,retailer,orders_placed,promo_flag,promo_uplift,revenue_per_case,revenue_weight,priority_multiplier,unit_value,capacity_cases
13,SKU_01,RET_A,99,0,1.0,11.17,0.073385,1.0,11.17,3954
13,SKU_01,RET_B,104,1,1.25,11.17,0.073385,1.3216,14.762272000000001,3954
13,SKU_01,RET_C,63,0,1.0,11.17,0.073385,1.0,11.17,3954
13,SKU_01,RET_D,55,0,1.0,11.17,0.073385,1.0,11.17,3954
13,SKU_02,RET_A,87,0,1.0,10.6,0.069641,1.0,10.6,3954
13,SKU_02,RET_B,87,1,1.25,10.6,0.069641,1.3216,14.00896,3954
13,SKU_02,RET_C,64,0,1.0,10.6,0.069641,1.0,10.6,3954
13,SKU_02,RET_D,47,0,1.0,10.6,0.069641,1.0,10.6,3954
13,SKU_03,RET_A,89,0,1.0,14.26,0.093686,1.0,14.26,3954
13,SKU_03,RET_B,78,1,1.25,14.26,0.093686,1.3216,18.846016000000002,3954
13,SKU_03,RET_C,54,0,1.0,14.26,0.093686,1.0,14.26,3954
13,SKU_03,RET_D,43,0,1.0,14.26,0.093686,1.0,14.26,3954
13,SKU_04,RET_A,115,0,1.0,12.12,0.079627,1.0,12.12,3954
13,SKU_04,RET_B,119,1,1.25,12.12,0.079627,1.3216,16.017792,3954
13,SKU_04,RET_C,82,0,1.0,12.12,0.079627,1.0,12.12,3954
13,SKU_04,RET_D,69,0,1.0,12.12,0.079627,1.0,12.12,3954
13,SKU_05,RET_A,144,0,1.0,16.42,0.107877,1.0,16.42,3954
13,SKU_05,RET_B,135,1,1.25,16.42,0.107877,1.3216,21.700672000000004,3954
13,SKU_05,RET_C,92,0,1.0,16.42,0.107877,1.0,16.42,3954
13,SKU_05,RET_D,73,0,1.0,16.42,0.107877,1.0,16.42,3954
13,SKU_06,RET_A,105,0,1.0,15.38,0.101045,1.0,15.38,3954
13,SKU_06,RET_B,103,1,1.25,15.38,0.101045,1.3216,20.326208,3954
13,SKU_06,RET_C,72,0,1.0,15.38,0.101045,1.0,15.38,3954
13,SKU_06,RET_D,61,0,1.0,15.38,0.101045,1.0,15.38,3954
13,SKU_07,RET_A,136,0,1.0,7.45,0.048946,1.0,7.45,3954
13,SKU_07,RET_B,127,1,1.25,7.45,0.048946,1.3216,9.845920000000001,3954
13,SKU_07,RET_C,84,0,1.0,7.45,0.048946,1.0,7.45,3954
13,SKU_07,RET_D,64,0,1.0,7.45,0.048946,1.0,7.45,3954
13,SKU_08,RET_A,111,0,1.0,11.85,0.077853,1.0,11.85,3954
13,SKU_08,RET_B,116,1,1.25,11.85,0.077853,1.3216,15.660960000000001,3954
13,SKU_08,RET_C,77,0,1.0,11.85,0.077853,1.0,11.85,3954
13,SKU_08,RET_D,56,0,1.0,11.85,0.077853,1.0,11.85,3954
13,SKU_09,RET_A,170,0,1.0,16.34,0.107352,1.06,17.3204,3954
13,SKU_09,RET_B,146,1,1.25,16.34,0.107352,1.4009,22.890706,3954
13,SKU_09,RET_C,95,0,1.0,16.34,0.107352,1.06,17.3204,3954
13,SKU_09,RET_D,90,0,1.0,16.34,0.107352,1.06,17.3204,3954
13,SKU_10,RET_A,180,0,1.0,7.43,0.048814,1.0,7.43,3954
13,SKU_10,RET_B,219,1,1.25,7.43,0.048814,1.3216,9.819488,3954
13,SKU_10,RET_C,139,0,1.0,7.43,0.048814,1.0,7.43,3954
13,SKU_10,RET_D,95,0,1.0,7.43,0.048814,1.0,7.43,3954
13,SKU_11,RET_A,163,0,1.0,11.79,0.077459,1.0,11.79,3954
13,SKU_11,RET_B,150,1,1.25,11.79,0.077459,1.3216,15.581664,3954
13,SKU_11,RET_C,104,0,1.0,11.79,0.077459,1.0,11.79,3954
13,SKU_11,RET_D,73,0,1.0,11.79,0.077459,1.0,11.79,3954
13,SKU_12,RET_A,155,0,1.0,17.4,0.114316,1.06,18.444,3954
13,SKU_12,RET_B,175,1,1.25,17.4,0.114316,1.4009,24.37566,3954
13,SKU_12,RET_C,103,0,1.0,17.4,0.114316,1.06,18.444,3954
13,SKU_12,RET_D,75,0,1.0,17.4,0.114316,1.06,18.444,3954
14,SKU_01,RET_A,100,0,1.0,11.17,0.073385,1.0,11.17,3540
14,SKU_01,RET_B,77,0,1.0,11.17,0.073385,1.12,12.5104,3540
14,SKU_01,RET_C,63,0,1.0,11.17,0.073385,1.0,11.17,3540
14,SKU_01,RET_D,50,0,1.0,11.17,0.073385,1.0,11.17,3540
14,SKU_02,RET_A,86,0,1.0,10.6,0.069641,1.0,10.6,3540
14,SKU_02,RET_B,72,0,1.0,10.6,0.069641,1.12,11.872,3540
14,SKU_02,RET_C,54,0,1.0,10.6,0.069641,1.0,10.6,3540
14,SKU_02,RET_D,44,0,1.0,10.6,0.069641,1.0,10.6,3540
14,SKU_03,RET_A,78,0,1.0,14.26,0.093686,1.0,14.26,3540
