week,sku,retailer,orders_placed,promo_flag,promo_uplift,revenue_per_case,revenue_weight,priority_multiplier,unit_value,capacity_cases
13,SKU_01,RET_A,121,0,1.0,7.94,0.053004,1.0,7.94,3978
13,SKU_01,RET_B,96,0,1.0,7.94,0.053004,1.0,7.94,3978
13,SKU_01,RET_C,80,0,1.0,7.94,0.053004,1.0,7.94,3978
13,SKU_01,RET_D,58,0,1.0,7.94,0.053004,1.09,8.6546,3978
13,SKU_02,RET_A,60,0,1.0,12.95,0.086449,1.0,12.95,3978
13,SKU_02,RET_B,50,0,1.0,12.95,0.086449,1.0,12.95,3978
13,SKU_02,RET_C,37,0,1.0,12.95,0.086449,1.0,12.95,3978
13,SKU_02,RET_D,27,0,1.0,12.95,0.086449,1.09,14.1155,3978
13,SKU_03,RET_A,78,0,1.0,9.65,0.064419,1.0,9.65,3978
13,SKU_03,RET_B,62,0,1.0,9.65,0.064419,1.0,9.65,3978
13,SKU_03,RET_C,53,0,1.0,9.65,0.064419,1.0,9.65,3978
13,SKU_03,RET_D,40,0,1.0,9.65,0.064419,1.09,10.518500000000001,3978
13,SKU_04,RET_A,77,0,1.0,15.99,0.106742,1.0,15.99,3978
13,SKU_04,RET_B,69,0,1.0,15.99,0.106742,1.0,15.99,3978
13,SKU_04,RET_C,53,0,1.0,15.99,0.106742,1.0,15.99,3978
13,SKU_04,RET_D,39,0,1.0,15.99,0.106742,1.09,17.429100000000002,3978
13,SKU_05,RET_A,93,0,1.0,13.88,0.092657,1.0,13.88,3978
13,SKU_05,RET_B,71,0,1.0,13.88,0.092657,1.0,13.88,3978
13,SKU_05,RET_C,65,0,1.0,13.88,0.092657,1.0,13.88,3978
13,SKU_05,RET_D,49,0,1.0,13.88,0.092657,1.09,15.129200000000003,3978
13,SKU_06,RET_A,95,0,1.0,8.97,0.05988,1.0,8.97,3978
13,SKU_06,RET_B,78,0,1.0,8.97,0.05988,1.0,8.97,3978
13,SKU_06,RET_C,64,0,1.0,8.97,0.05988,1.0,8.97,3978
13,SKU_06,RET_D,50,0,1.0,8.97,0.05988,1.09,9.777300000000002,3978
13,SKU_07,RET_A,151,0,1.0,6.97,0.046529,1.0,6.97,3978
13,SKU_07,RET_B,126,0,1.0,6.97,0.046529,1.0,6.97,3978
13,SKU_07,RET_C,100,0,1.0,6.97,0.046529,1.0,6.97,3978
13,SKU_07,RET_D,85,0,1.0,6.97,0.046529,1.09,7.597300000000001,3978
13,SKU_08,RET_A,132,0,1.0,12.15,0.081108,1.0,12.15,3978
13,SKU_08,RET_B,109,0,1.0,12.15,0.081108,1.0,12.15,3978
13,SKU_08,RET_C,78,0,1.0,12.15,0.081108,1.0,12.15,3978
13,SKU_08,RET_D,62,0,1.0,12.15,0.081108,1.09,13.243500000000001,3978
13,SKU_09,RET_A,144,0,1.0,10.93,0.072964,1.0,10.93,3978
13,SKU_09,RET_B,116,0,1.0,10.93,0.072964,1.0,10.93,3978
13,SKU_09,RET_C,91,0,1.0,10.93,0.072964,1.0,10.93,3978
13,SKU_09,RET_D,68,0,1.0,10.93,0.072964,1.09,11.9137,3978
13,SKU_10,RET_A,168,0,1.0,18.3,0.122163,1.06,19.398000000000003,3978
13,SKU_10,RET_B,138,0,1.0,18.3,0.122163,1.06,19.398000000000003,3978
