week,sku,retailer,orders_placed,promo_flag,promo_uplift,revenue_per_case,revenue_weight,priority_multiplier,unit_value,capacity_cases
13,SKU_01,RET_A,122,0,1.0,8.65,0.060937,1.05,9.082500000000001,4197
13,SKU_01,RET_B,89,0,1.0,8.65,0.060937,1.0,8.65,4197
13,SKU_01,RET_C,79,0,1.0,8.65,0.060937,1.07,9.255500000000001,4197
13,SKU_01,RET_D,54,0,1.0,8.65,0.060937,1.0,8.65,4197
13,SKU_02,RET_A,89,0,1.0,7.88,0.055513,1.05,8.274000000000001,4197
13,SKU_02,RET_B,74,0,1.0,7.88,0.055513,1.0,7.88,4197
13,SKU_02,RET_C,64,0,1.0,7.88,0.055513,1.07,8.4316,4197
13,SKU_02,RET_D,47,0,1.0,7.88,0.055513,1.0,7.88,4197
13,SKU_03,RET_A,138,0,1.0,16.16,0.113843,1.05,16.968,4197
13,SKU_03,RET_B,100,0,1.0,16.16,0.113843,1.0,16.16,4197
13,SKU_03,RET_C,85,0,1.0,16.16,0.113843,1.07,17.2912,4197
13,SKU_03,RET_D,76,0,1.0,16.16,0.113843,1.0,16.16,4197
13,SKU_04,RET_A,106,0,1.0,11.13,0.078408,1.05,11.6865,4197
13,SKU_04,RET_B,82,0,1.0,11.13,0.078408,1.0,11.13,4197
13,SKU_04,RET_C,66,0,1.0,11.13,0.078408,1.07,11.909100000000002,4197
13,SKU_04,RET_D,53,0,1.0,11.13,0.078408,1.0,11.13,4197
13,SKU_05,RET_A,157,0,1.0,17.18,0.121029,1.05,18.039,4197
13,SKU_05,RET_B,120,0,1.0,17.18,0.121029,1.0,17.18,4197
13,SKU_05,RET_C,107,0,1.0,17.18,0.121029,1.07,18.3826,4197
13,SKU_05,RET_D,84,0,1.0,17.18,0.121029,1.0,17.18,4197
13,SKU_06,RET_A,148,0,1.0,10.5,0.07397,1.05,11.025,4197
13,SKU_06,RET_B,121,0,1.0,10.5,0.07397,1.0,10.5,4197
